Designator,Mid X,Mid Y,Rotation,Layer
,99.9,-95.9,0.0,top
C1,91.3,-119.1,270.0,top
C2,90.3,-113.2,0.0,top
C3,92.9,-113.6,90.0,top
C4,93.0,-117.7,270.0,top
C5,81.2,-117.225,90.0,top
C6,95.8,-116.7,270.0,top
J1,83.25,-125.6625,0.0,top
J2,99.25,-125.6625,0.0,top
J3,88.58,-97.5,180.0,top
R1,80.0,-111.6,90.0,top
R2,97.9,-111.1,270.0,top
R3,88.9,-107.5,90.0,top
R5,89.9,-118.55,270.0,top
U1,84.3,-111.3,90.0,top
U2,102.1,-110.9,90.0,top
U3,93.1,-107.5,90.0,top
U4,83.5,-117.6,90.0,top
U5,99.5,-117.575,90.0,top
U6,99.9,-102.2,0.0,top
U7,90.675,-115.75,180.0,top
